"Rank","NASA","TA","EXT","AGR","CS","NT","OP","AV","EM","Task","H","RS","WH","TWR","BR","NP","SR","AP","AR","DWH","DWR","T","DS"
"Professor",18,43,6,9,10,7,9,23,26,30,25,1,4,60,3,2,3,3,2,3,60,3,1
"Associate Professor",14,38,9,7,6,5,8,17,21,21,16,2,2,40,2,2,1,3,3,3,40,3,2
"Professor",17,34,4,9,8,3,5,15,15,25,31,1,4,30,2,2,1,2,3,5,70,1,3
"Assistant Professor",36,47,8,9,9,8,9,21,21,21,7,2,4,40,2,1,1,3,3,5,70,2,3
"Professor",17,42,6,7,9,4,8,19,25,27,42,2,2,30,2,1,1,3,3,4,90,3,3
"Professor",25,33,7,9,9,6,9,28,18,21,29,1,2,30,1,2,1,2,4,5,60,1,3
"Professor",19,29,9,6,10,4,9,31,16,33,25,1,3,40,2,3,2,3,5,5,100,3,1
"Professor",28,48,7,6,9,7,10,16,18,19,23,2,3,60,3,1,2,3,3,5,80,1,3
"Professor",23,43,3,6,7,8,6,12,23,27,35,2,3,40,2,2,1,3,4,5,70,3,3
"Associate Professor",22,38,5,9,9,3,6,23,14,32,44,2,4,40,3,1,1,4,3,4,60,3,2
"Professor",24,43,9,5,10,6,5,22,21,26,35,2,3,50,2,3,1,4,2,4,60,2,3
"Assistant Professor",15,28,6,5,5,3,5,24,7,26,9,1,2,30,2,2,1,3,2,3,40,2,3
"Professor",19,33,8,10,10,4,6,20,9,33,34,2,4,20,3,2,1,3,5,5,0,3,3
"Professor",14,49,3,4,10,8,8,9,10,28,46,1,3,30,2,2,1,4,4,5,60,1,3
"Associate Professor",22,25,2,6,10,5,8,12,11,32,39,2,3,40,3,3,1,3,4,4,60,2,3
"Professor",20,38,3,7,10,4,8,16,22,29,47,2,4,30,3,1,1,4,5,4,40,3,2
"Assistant Professor",13,34,10,7,9,5,10,9,18,30,30,1,4,70,2,3,2,3,3,3,70,3,2
"Professor",19,47,4,10,8,7,7,14,21,25,32,2,4,60,2,1,1,4,2,4,70,2,2
"Professor",16,36,4,9,9,6,4,16,16,31,100,2,3,60,3,1,3,2,1,5,80,2,3
"Professor",20,41,4,7,8,4,9,19,19,29,14,2,3,50,2,1,1,4,3,4,70,3,3
"Assistant Professor",15,30,5,7,8,2,5,22,14,28,8,2,2,40,1,2,1,2,4,5,80,3,2
"Associate Professor",22,39,8,9,10,3,7,26,15,31,17,1,3,30,3,1,3,3,2,4,50,3,3
"Associate Professor",31,59,2,5,6,6,5,16,30,16,3,2,4,50,4,2,1,3,5,5,100,3,3
"Professor",21,37,6,6,9,6,6,15,9,33,73,1,4,60,2,1,3,4,1,4,90,3,1
"Associate Professor",18,41,3,10,9,4,7,19,13,28,10,2,3,20,2,NA,NA,NA,NA,NA,NA,NA,NA
"Professor",29,45,6,9,9,8,7,17,22,34,48,2,3,40,2,2,1,3,3,1,50,3,3
"Professor",24,49,6,6,7,8,7,22,27,26,26,2,2,60,3,3,1,2,2,4,80,1,3
"Associate Professor",9,37,4,8,5,4,6,14,14,26,24,2,3,40,3,2,1,2,2,4,60,1,3
"Associate Professor",28,56,8,6,7,10,9,26,31,27,29,1,3,40,1,3,2,3,2,5,60,2,3
"Assistant Professor",26,55,2,4,10,7,10,10,13,31,11,1,4,40,3,2,1,3,5,5,90,3,3
"Associate Professor",23,38,7,8,8,5,10,24,20,30,16,2,4,30,3,1,1,4,3,5,70,3,3
"Assistant Professor",24,45,6,9,6,6,6,24,13,26,59,2,4,40,2,1,3,4,4,4,50,3,3
"Professor",24,32,5,10,10,7,5,25,10,31,60,2,4,20,1,2,1,3,5,5,30,3,3
"Assistant Professor",33,43,8,10,4,6,9,26,25,25,16,2,3,50,2,1,2,3,2,5,80,3,3
"Professor",26,31,2,6,8,3,8,17,12,30,32,1,3,50,2,1,3,4,4,4,70,3,2
"Professor",17,39,8,7,9,6,7,26,21,27,190,2,3,30,2,1,3,4,1,3,50,3,1
"Associate Professor",20,26,7,8,10,3,10,10,15,34,18,2,4,60,3,2,1,3,3,4,70,3,2
"Associate Professor",19,60,4,8,7,10,8,24,31,17,18,1,2,20,2,1,1,2,2,5,80,1,3
"Associate Professor",26,42,8,7,6,6,7,24,17,23,39,2,3,40,3,1,1,3,4,4,60,3,3
"Associate Professor",22,28,3,4,10,3,8,17,10,30,15,2,3,50,2,2,1,3,2,4,50,2,3
"Professor",29,37,10,7,9,8,8,24,22,28,25,1,4,60,3,2,1,3,4,4,90,3,3
"Associate Professor",26,55,6,6,6,6,6,21,21,21,16,1,4,60,3,2,1,3,4,4,70,1,3
"Associate Professor",22,45,5,4,10,6,5,14,16,21,20,1,3,40,3,2,2,3,5,4,60,3,3
"Assistant Professor",30,49,6,7,7,7,6,19,22,26,10,2,4,50,3,2,3,3,4,2,30,3,2
"Assistant Professor",18,41,5,7,10,4,7,15,11,32,15,2,3,70,2,2,1,2,5,4,90,2,3
"Associate Professor",22,52,8,6,6,8,8,15,26,27,19,1,3,50,2,2,1,4,3,5,70,1,3
"Associate Professor",26,24,4,8,10,2,6,19,8,33,34,1,4,70,2,3,1,4,3,5,70,3,2
"Professor",26,45,9,7,8,4,5,25,24,27,26,2,4,20,2,2,1,2,3,5,70,1,3
"Professor",26,45,3,7,8,4,8,17,9,29,0,2,4,70,2,3,1,3,2,3,60,3,2
"Associate Professor",28,34,2,6,7,4,6,11,15,33,18,2,4,50,3,2,1,3,5,5,80,1,3
"Associate Professor",25,52,6,8,8,7,8,17,26,26,18,1,2,30,2,2,1,3,2,4,70,3,3
