P_ID,S_G30,S_G50,S_F75,S_FF,S_G50FF,WC,Comment,NA1,NA2,NA3,NA4,NA5,PA1,PA2,IS1,IS2
P_269,1,1,0,0,0,24,1,0,0,1,0,0,0,0,0,0
P_27,1,0,1,1,0,36,1,0,0,0,0,0,1,0,0,0
P_270,0,0,0,0,0,113,1,1,0,0,0,0,0,0,0,0
P_271,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0
P_275,1,1,0,0,0,48,1,0,0,0,0,0,0,0,0,0
P_28,0,0,0,0,0,58,1,1,0,0,0,1,1,0,0,0
P_280,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0
P_282,1,1,1,0,0,16,1,0,0,0,0,0,1,1,0,0
P_285,1,1,1,1,1,77,1,0,0,0,0,0,0,0,0,0
P_286,1,0,0,0,0,64,1,0,0,0,0,1,0,1,0,0
P_287,0,0,1,0,0,27,1,0,0,0,0,0,1,1,0,0
P_289,0,0,1,1,0,95,1,0,0,0,1,0,0,0,0,0
P_29,1,1,1,1,1,19,1,0,0,0,0,1,0,0,0,0
P_290,1,0,0,0,0,63,1,0,0,0,0,0,0,1,0,1
P_291,0,0,0,0,0,51,1,0,0,0,0,0,0,1,0,1
P_292,0,0,1,0,0,80,1,1,0,0,0,0,0,1,1,0
P_297,0,0,1,0,0,121,1,1,0,0,0,0,0,0,1,0
P_299,0,0,1,0,0,39,1,0,0,0,0,0,0,1,0,0
P_30,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1
P_301,0,0,0,0,0,208,1,1,1,0,0,0,0,0,1,0
P_303,1,0,1,0,0,59,1,0,1,1,0,0,0,0,0,0
P_304,1,0,1,0,0,47,1,0,0,0,0,0,0,1,0,1
P_305,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
P_306,0,0,0,0,0,25,1,0,0,0,1,0,0,0,0,1
P_307,1,0,1,0,0,31,1,0,0,0,0,0,0,1,0,0
P_31,1,0,0,0,0,132,1,0,0,0,0,0,1,0,0,1
P_311,1,1,1,1,1,129,1,1,1,1,0,0,0,0,0,0
P_312,0,0,1,0,0,13,1,0,0,0,0,0,0,0,0,1
P_313,0,0,1,1,0,31,1,0,1,0,0,0,0,0,0,0
P_315,1,0,0,0,0,20,1,0,0,0,0,0,1,0,0,0
P_317,0,0,1,0,0,15,1,0,0,0,0,0,0,0,0,0
P_318,0,0,0,0,0,25,1,0,1,0,0,0,0,0,0,0
P_323,0,0,1,1,0,43,1,1,0,0,0,0,0,0,0,0
P_324,0,0,1,1,0,303,1,1,0,0,0,1,0,0,1,1
P_325,0,0,1,0,0,43,1,0,0,0,1,0,1,0,0,0
P_326,1,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0
P_329,1,1,1,1,1,8,1,0,0,0,0,0,1,0,0,0
P_330,0,0,0,0,0,28,1,0,0,0,0,0,1,0,0,0
P_333,0,0,1,1,0,25,1,0,0,1,0,0,0,0,0,0
P_334,1,0,0,0,0,23,1,0,0,0,0,0,1,0,0,0
P_340,0,0,0,0,0,62,1,0,0,0,1,0,1,0,0,1
P_344,0,0,0,0,0,35,1,0,0,0,0,1,0,0,0,0
P_346,0,0,1,1,0,11,1,0,0,0,1,0,0,0,0,0
P_348,0,0,1,1,0,25,1,0,0,0,1,0,0,0,0,0
P_351,1,1,1,1,1,37,1,0,1,0,0,0,0,0,0,0
P_352,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,1
P_355,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1
P_356,0,0,0,0,0,46,1,0,0,0,0,0,0,0,1,0
P_357,0,0,1,0,0,30,1,0,0,1,0,0,0,0,0,0
P_359,0,0,1,1,0,53,1,0,0,1,0,0,0,0,0,1
P_36,1,1,1,0,0,29,1,0,0,1,0,0,1,0,0,0
P_361,1,1,1,1,1,25,1,0,0,0,0,0,1,0,0,0
