NASA,TA,EXT,AGR,CS,NT,OP,AV,EM,Task,H,RS,WH,TWR,BR,NP,FA,AP,AR,DWH,DWR,T,DS,Rank,actual,prediction
28,35,6,10,10,2,5,12,10,31,38,2,2,50,2,3,1,2,3,2,70,1,2,2,0,0
23,44,4,9,6,6,6,20,23,27,27,2,2,30,1,1,1,2,1,2,70,2,2,2,1,0
21,30,9,7,10,8,6,31,16,34,26,2,2,30,1,1,1,2,3,2,50,2,1,2,0,0
23,55,4,6,7,7,6,15,25,28,27,2,2,60,2,2,1,1,2,2,80,2,2,2,0,0
11,52,7,6,9,6,8,29,11,25,9,1,1,40,1,2,1,1,4,2,70,1,1,0,0,0
26,56,2,5,9,9,8,16,25,18,26,1,2,20,2,3,2,2,3,2,30,2,1,1,0,0
20,48,10,8,9,4,10,22,23,25,21,2,2,30,1,1,1,2,3,2,70,1,2,1,0,0
24,38,6,9,10,5,6,14,17,31,9,2,2,30,2,1,6,2,4,2,60,2,2,1,1,0
17,57,7,10,7,4,6,17,31,23,36,1,2,40,1,2,1,2,4,2,80,1,2,1,0,0
13,34,6,7,8,3,10,16,10,27,25,2,2,40,1,3,1,2,5,2,10,1,1,0,0,0
22,57,6,7,10,4,8,20,25,28,19,2,2,30,2,1,1,2,4,2,40,1,2,1,0,0
26,41,3,6,10,6,7,11,16,30,42,1,2,50,1,2,1,2,3,1,60,2,1,1,0,0
25,34,9,8,10,3,6,24,18,26,27,2,2,60,1,3,3,2,4,2,90,2,2,2,0,0
21,29,9,10,9,3,7,13,10,30,60,1,2,70,2,1,1,2,4,1,80,2,1,2,0,0
20,33,6,6,6,8,10,26,10,32,10,1,2,50,1,3,1,1,1,2,60,2,2,0,0,0
25,34,3,10,9,2,8,12,13,34,23,2,2,70,1,3,1,2,4,2,90,1,2,2,0,0
24,41,10,8,10,5,10,27,12,29,28,1,2,50,2,1,2,2,5,2,70,2,2,1,0,0
18,56,2,4,9,9,6,9,31,33,22,1,2,60,2,3,1,2,3,2,90,1,2,2,0,0
18,49,2,7,8,8,7,24,26,33,35,2,2,60,2,1,1,2,2,2,80,1,2,1,1,0
17,39,8,7,9,6,7,26,21,27,198,2,2,30,1,1,3,2,1,1,50,2,1,2,1,1
16,54,3,7,3,9,6,23,24,16,17,2,2,40,1,2,1,2,2,2,60,1,2,0,0,0
